ID_new,Job_Role,Location,Avg_num_response,Q3,Q3_num,Q4,Q4_num,Q5,Q5_num,Q6,Q6_num,Q7,Q7_num,Q8,Q8_num,Q9,Q9_num,Q10,Q10_num,Q11,Q11_num,Q12,Q12_num,Q13,Q13_num,Q14,Q14_num,Q15,Q15_cat,Q16,Q16_cat,Q17,Q17_num,Q18,Q18_cat,Q19,Q19_cat
id-118892658287,Administrative Support,North Carolina - Raleigh Office,43.07692308,Disagree,40,Disagree,40,Strongly agree,100,Strongly disagree,20,Strongly disagree,20,Disagree,40,Neither agree nor disagree,60,Strongly disagree,20,Neither agree nor disagree,60,Disagree,40,Disagree,40,Strongly disagree,20,Flexibility,Autonomy & Independence,Little to no diversity and the allocated 20 hours a month to wfh that some follow and some don't.,Workload & Hours,Neither satisfied nor dissatisfied,60,unsure. ,Other,,No Response
id-118893932236,Administrative Support,North Carolina - Raleigh Office,50.76923077,Neither agree nor disagree,60,Disagree,40,Disagree,40,Agree,80,Disagree,40,Strongly agree,100,Disagree,40,Disagree,40,Disagree,40,Disagree,40,Neither agree nor disagree,60,Disagree,40,"the few friends I've made, the bonus we receive",People & Relationships,"the workload, lack of communication, the PTO policy, the WFH policy, the double standards, the lack of trust from leadership, the amount of programs and inefficient processes. being a 'leader' in a department but not being able to lead my department or make minor decisions without having to go through leadership",Workload & Hours,Dissatisfied,40,"Better annual compensation with a smaller bonus. the double standards for estimators/PMs and the admin staff, and the lack of consequences for actions for certain people, the PTO policy, and the WFH policy ",Compensation & Benefits,"Leadership does not trust the leaders they chose to lead departments. They are hesitant to make changes and the work environment is toxic. The communication between leadership and us, as well as the corporate office and us needs to improve, and our technology needs to update. We have too many systems and repeat so many steps because of the amount of programs we use, when we could just be using one or two. There are several changes that need to be made in this corporation, not just this affiliate office. Sadly, I don't have a lot of faith that anything will come of this survey. ",Management & Leadership
id-118894163532,Anonymous,North Carolina - Charlotte Corporate Office (Westport and Old Dowd),52.30769231,Strongly disagree,20,Strongly disagree,20,Agree,80,Strongly agree,100,Strongly agree,100,Agree,80,Disagree,40,Disagree,40,Strongly disagree,20,Strongly disagree,20,Neither agree nor disagree,60,Neither agree nor disagree,60,Rather not say.,Other,Manager ,Management & Leadership,Dissatisfied,40,Respect and transparency ,Communication,,No Response
id-118892727885,Shop Leadership,Oklahoma - Durant Shop,56.92307692,Strongly agree,100,Strongly disagree,20,Strongly agree,100,Disagree,40,Strongly disagree,20,Neither agree nor disagree,60,Strongly disagree,20,Agree,80,Neither agree nor disagree,60,Strongly agree,100,Strongly disagree,20,Strongly disagree,20,The unity of a stable workplace where  sharing is caring.  ,Work Environment & Culture,negative attitudes,Interpersonal Issues,Extremely satisfied,100,"more ventilation, ",Physical Environment,,No Response
id-118892728939,Shop Leadership,Oregon - Tangent Office and Shop,58.46153846,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Consistent work,Other,having to remove my wife from my insurance and costing me more money by having to go elsewhere for insurance.,Compensation & Benefits,Neither satisfied nor dissatisfied,60,I would rather not answer this question.,No Response,,No Response
id-118893995612,Shop Employee,North Carolina - Charlotte Shop,58.46153846,Disagree,40,Agree,80,Agree,80,Disagree,40,Agree,80,Agree,80,Neither agree nor disagree,60,Disagree,40,Strongly disagree,20,Disagree,40,Agree,80,Disagree,40,I enjoy the hours ,Autonomy & Independence,communication does not seem to be very good ,Communication Issues,Satisfied,80,the transparency and communication ,Communication,,No Response
id-118892685959,Purchasing,South Carolina - York Office and Shop,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Work-life balance.,Work Environment & Culture,The culture overall does not align with my personal values.,Interpersonal Issues,Neither satisfied nor dissatisfied,60,"Promote fairness, transparency, and trust. ",Management & Leadership,,No Response
id-118893963432,Project Management,Georgia - Atlanta Office,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,bonus season,Compensation & Security,nothing comes to mind,No Complaints,Neither satisfied nor dissatisfied,60,nothing,No Changes Needed,,No Response
id-118896044676,Document Control,North Carolina - Raleigh Office,60,Disagree,40,Strongly disagree,20,Disagree,40,Strongly agree,100,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Agree,80,Neither agree nor disagree,60,I enjoy the job itself and the challenge it brings from day-to-day. I love the team that I supervise and how we work together. ,People & Relationships,There's no work-life balance. Admin staff is not treated with the same respect as project managers or estimators. The PTO and the work from home are a joke. If you're not physically here everyone gets in an uproar (there's a calendar there for a reason). It's like if they can't see you then you aren't working. Trust your people! ,Workload & Hours,Neither satisfied nor dissatisfied,60,Increase the PTO because three weeks is not enough if you have kids and a two income household. The work from home policy needs to be better. Pay people what they are worth and get rid of the bonuses or pay people what they are worth and make bonuses less.,Work-Life Balance,Sexual harassment in the workplace needs to be taken seriously and not swept under the rug! There's a zero tolerance policy and yet they handle it however they feel is best regardless of how it affects the victim. ,Company Policy
id-118896959151,Project Management,Texas - Allen Office,61.53846154,Disagree,40,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Disagree,40,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Agree,80,Seeing our building go up successfully ,Making an Impact,Being away from home so much,Workload & Hours,Neither satisfied nor dissatisfied,60, Asked to be more involved through the process from the awarding of the project to the topping out. ,Other,,No Response
id-118893158312,Project Management,Oregon - Portland Office,63.07692308,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Transparency ,Work Environment & Culture,I dont know ,Other,Satisfied,80,I dont know ,Other,,No Response
id-118896951183,Other,North Carolina - Charlotte Shop,63.07692308,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Agree,80,Disagree,40,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,its a job,Other,nothing,No Complaints,Satisfied,80,nothing,No Changes Needed,,No Response
id-118892674408,Pre-Con/Sales,North Carolina - Raleigh Office,64.61538462,Neither agree nor disagree,60,Neither agree nor disagree,60,Disagree,40,Strongly agree,100,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Strongly agree,100,Agree,80,Neither agree nor disagree,60,I like the flexible work hours when it is allowed ,Autonomy & Independence,"I do not like the late day requests that require late work because of poor time management form other.  Especially when the person leaves, leaving others do the work.",Workload & Hours,Dissatisfied,40,Don't know.,Other,,No Response
id-118892694644,Purchasing,South Carolina - York Office and Shop,64.61538462,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,able to leave for appointments ,Autonomy & Independence,communication,Communication Issues,Neither satisfied nor dissatisfied,60,better communication,Communication,,No Response
id-118893936466,Shop Leadership,Oklahoma - Durant Shop,64.61538462,Agree,80,Agree,80,Agree,80,Disagree,40,Strongly agree,100,Agree,80,Disagree,40,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,"Seeing raw materials transformed into something strong, functional, and lasting.",Making an Impact,We need to ensure we are focusing our time and resources on meaningful feedback that drives improvement rather than over-accommodating complaints that aren't grounded in facts or value. Important to maintain high standards and not compromise them to appease every objection.,Other,Neither satisfied nor dissatisfied,60,1. Streamline communication.   2. Improve training and development opportunities.,Communication,na,No Response
id-118895265946,Project Management,Maryland - Baltimore Office,64.61538462,Agree,80,Agree,80,Neither agree nor disagree,60,Agree,80,Agree,80,Neither agree nor disagree,60,Neither agree nor disagree,60,Agree,80,Neither agree nor disagree,60,Disagree,40,Neither agree nor disagree,60,Disagree,40,Trust in my ability/experience without micro-management,Autonomy & Independence,Commute and The amount of data entry/administrative/system protocol type tasks encompass too much time ,Process & Efficiency,Neither satisfied nor dissatisfied,60,Hire more direct administrative support for PMs to handle data entry/administrative time consuming tasks ,Workload & Staffing,"If this is meant to be confidential and anonymous, why does it contain questions where the survey originates and what the Job Description is? This info. can certainly narrow the field and obfuscate the anonymity. ",Other
id-118896024513,Estimating,South Carolina - Charleston Office,64.61538462,Agree,80,Agree,80,Agree,80,Neither agree nor disagree,60,Disagree,40,Disagree,40,Agree,80,Agree,80,Disagree,40,Neither agree nor disagree,60,Neither agree nor disagree,60,Neither agree nor disagree,60,I enjoy the independence and responsibility that comes with the job,Autonomy & Independence,The job can be stressful at times,Other,Satisfied,80,Better office/ company culture - more events that bring us together.,Stronger Relationships,,No Response
